name	len	score	pvalue
NODE_16_length_17398_cov_2.561668	17398	0.20071637630462646	0.1466122818944029
NODE_10_length_21507_cov_3.191404	21507	0.08983530104160309	0.19614396857768715
NODE_17_length_16920_cov_2.673347	16920	0.024733632802963257	0.2804970163909661
NODE_7_length_22631_cov_3.032512	22631	0.05023176968097687	0.23408112395196012
NODE_13_length_18704_cov_9.824870	18704	0.7013274431228638	0.03283858297454491
NODE_34_length_13435_cov_2.243049	13435	0.04474596306681633	0.24186116776191555
NODE_18_length_16576_cov_2.528539	16576	0.07327400147914886	0.20953244202734345
NODE_19_length_16331_cov_2.321271	16331	0.08045043051242828	0.2033008535387869
NODE_22_length_15913_cov_2.347143	15913	0.11354060471057892	0.18183019865548758
NODE_4_length_32163_cov_2.726548	32163	0.1508195549249649	0.16426844927864642
NODE_14_length_18393_cov_2.334824	18393	0.06175366789102554	0.220900370118589
NODE_25_length_15093_cov_2.898590	15093	0.3255177140235901	0.11350932849913135
NODE_11_length_21052_cov_2.630757	21052	0.12834623456001282	0.17457889568698542
NODE_28_length_14543_cov_2.829445	14543	0.056585997343063354	0.22664098496865323
NODE_37_length_13024_cov_2.313440	13024	0.051261693239212036	0.23279703905128787
NODE_1_length_48799_cov_5.520556	48799	1.0	0.0
NODE_8_length_22335_cov_2.825314	22335	0.11648255586624146	0.18050834655185438
NODE_5_length_27654_cov_2.884706	27654	0.18973782658576965	0.15040788579197825
NODE_26_length_15021_cov_2.774689	15021	0.09678864479064941	0.19149860261349044
NODE_12_length_18838_cov_2.374594	18838	0.20269127190113068	0.14598912304554726
NODE_31_length_13674_cov_4.450106	13674	0.7918636798858643	0.02600271923861319
NODE_20_length_16267_cov_2.497101	16267	0.11002945899963379	0.18379409320945692
NODE_15_length_17588_cov_2.502595	17588	0.04565347731113434	0.24059596646272377
NODE_40_length_12983_cov_2.124149	12983	0.03121086396276951	0.2653146008006647
NODE_32_length_13588_cov_3.191458	13588	0.8417361974716187	0.02211269733363547
NODE_38_length_13020_cov_2.840031	13020	0.10266301035881042	0.18811843794848554
NODE_43_length_12159_cov_2.758179	12159	0.1119953989982605	0.18271772792506988
NODE_6_length_23755_cov_2.807257	23755	0.015689438208937645	0.31180602764559257
NODE_27_length_14670_cov_3.247554	14670	0.8147242665290833	0.024152126293526702
NODE_39_length_13017_cov_2.252739	13017	0.14418694376945496	0.16728982551552232
NODE_23_length_15573_cov_2.883168	15573	0.07526001334190369	0.20779515069113982
NODE_44_length_12090_cov_2.271708	12090	0.07968375086784363	0.20384847798172068
NODE_46_length_11828_cov_2.558226	11828	0.016829971224069595	0.3068396404562278
NODE_35_length_13219_cov_2.644409	13219	0.02474883198738098	0.28047813278948563
NODE_49_length_11354_cov_2.625277	11354	0.0586298331618309	0.22450713800135963
NODE_29_length_14318_cov_2.778518	14318	0.03030940517783165	0.2670896593398293
NODE_33_length_13458_cov_2.493322	13458	0.12328672409057617	0.17707153108240803
NODE_41_length_12380_cov_2.128114	12380	0.009747615084052086	0.3461364151370949
NODE_47_length_11738_cov_2.317983	11738	0.12176943570375443	0.17786464234458796
NODE_21_length_16150_cov_2.552035	16150	0.12103588879108429	0.17837449958456078
NODE_52_length_11066_cov_2.714921	11066	0.2715681195259094	0.1267278495354634
NODE_9_length_21977_cov_2.887921	21977	0.07840922474861145	0.20503814487499056
NODE_45_length_12070_cov_2.736413	12070	0.02881718799471855	0.2703754059974318
NODE_2_length_33884_cov_2.665731	33884	0.16926540434360504	0.1575270035501171
NODE_48_length_11540_cov_2.652503	11540	0.9853362441062927	0.008478737064732986
NODE_24_length_15204_cov_2.727177	15204	0.08161091804504395	0.2023377898632827
NODE_42_length_12204_cov_3.578566	12204	0.07036899775266647	0.21211949543016845
NODE_50_length_11317_cov_2.684958	11317	0.01878853514790535	0.2990407130447919
NODE_67_length_9593_cov_2.432690	9593	0.022494668141007423	0.2868041392854445
NODE_55_length_10673_cov_2.505180	10673	0.030333857983350754	0.26705189213686836
NODE_36_length_13089_cov_1.978211	13089	0.08037199079990387	0.20333862074174786
NODE_64_length_9873_cov_2.603483	9873	0.032080452889204025	0.2634640078555782
NODE_68_length_9536_cov_2.079633	9536	0.017967464402318	0.3020998564846287
NODE_3_length_32343_cov_2.659719	32343	0.11426292359828949	0.18145252662587807
NODE_53_length_10892_cov_2.132970	10892	0.05898718163371086	0.2240728151673087
NODE_73_length_9254_cov_2.396891	9254	0.011399751529097557	0.33391872497922803
NODE_65_length_9833_cov_2.514011	9833	0.019827283918857574	0.29505627313241184
NODE_30_length_14135_cov_2.415625	14135	0.09626702964305878	0.19185739104161945
NODE_56_length_10664_cov_2.652936	10664	0.07569077610969543	0.20741747866153032
NODE_51_length_11218_cov_2.887844	11218	0.03809385001659393	0.25237933378653976
NODE_79_length_9074_cov_3.418783	9074	0.031185798346996307	0.2653901352065866
NODE_74_length_9223_cov_2.688373	9223	0.0977056547999382	0.19089432736611525
NODE_61_length_10223_cov_2.530586	10223	0.04150449484586716	0.24694085656016315
NODE_69_length_9442_cov_2.623202	9442	0.07590911537408829	0.20717199184228416
NODE_58_length_10331_cov_2.667964	10331	0.07713043689727783	0.20586902334013144
NODE_80_length_9065_cov_2.557381	9065	0.5558476448059082	0.04754890852783443
NODE_85_length_8975_cov_3.104709	8975	0.03180605545639992	0.26404939950147294
NODE_75_length_9184_cov_2.230693	9184	0.012853410094976425	0.3249678978774832
NODE_88_length_8942_cov_3.456059	8942	0.05318836122751236	0.23022886924994335
NODE_70_length_9422_cov_2.439201	9422	0.01401812769472599	0.3193028174333409
NODE_76_length_9183_cov_2.508983	9183	0.08328599482774734	0.20094040335372762
NODE_81_length_9056_cov_3.132874	9056	0.04903479665517807	0.23566734647631996
NODE_86_length_8970_cov_2.416040	8970	0.006395459175109863	0.37493390739481836
NODE_91_length_8645_cov_2.185797	8645	0.007313307374715805	0.36588866228567113
NODE_94_length_8501_cov_3.237154	8501	0.26371991634368896	0.12863509328499131
NODE_87_length_8946_cov_2.401867	8946	0.04739942401647568	0.23795226225545735
NODE_54_length_10751_cov_2.542072	10751	0.5089921951293945	0.057500566508044415
NODE_66_length_9750_cov_3.074678	9750	0.034888915717601776	0.25864868947805725
NODE_59_length_10328_cov_2.725591	10328	0.03345244377851486	0.2611979756779213
NODE_92_length_8641_cov_3.140345	8641	0.5741654634475708	0.04515069113981419
NODE_71_length_9310_cov_2.369530	9310	0.23855003714561462	0.13545207341944254
NODE_89_length_8936_cov_1.979619	8936	0.0453433096408844	0.24099252209381372
NODE_97_length_8326_cov_2.402612	8326	0.9314152598381042	0.015465669612508498
